Type,Indicator,Description,Actor
SHA256,341f27419becc456b52d6fbe2d223e8598065ac596fa8dec23cc722726a28f62,Unmanned_Vehicle_Systems_Conference_2025_In_Istanbul.lnk,DroppingElephant
SHA256,588021b5553838fae5498de40172d045b5168c8e608b8929a7309fd08abfaa93,Unmanned_Vehicle_Systems_Conference_2025_In_Istanbul.pdf,DroppingElephant
SHA256,2cd2a4f1fc7e4b621b29d41e42789c1365e5689b4e3e8686b80f80268e2c0d8d,libvlc.dll,DroppingElephant
SHA256,89ec9f19958a442e9e3dd5c96562c61229132f3acb539a6b919c15830f403553,vlc.log,DroppingElephant
SHA256,8b6acc087e403b913254dd7d99f09136dc54fa45cf3029a8566151120d34d1c2,Decrypted Shellcode (PE),DroppingElephant
Domain,expouav.org,Fake UAV Conference Website,DroppingElephant
Domain,roseserve.org,Command and Control Server,DroppingElephant
Registry,Sessions\1\BaseNamedObjects\ghjghkj,Mutant Object - Memory/Registry Artifact,DroppingElephant
IP,2[.]56[.]127[.]187,Dropping,DroppingElephant
